"id_usuario","direccion_estacion_origen","direccion_estacion_destino","duracion_recorrido","distancia","dia"
599549,"1483 Quinteros, Lidoro J. Av.","Santa Fe Av. & Dorrego",1098,2932.12,"Sábado"
91633,"Olleros Av. & Del Libertador Av.","Av. Sarmiento 2601",834,2348.9,"Martes"
188139,"Av. Sarmiento 2601","Av. Sarmiento 2601",1898,0,"Viernes"
93576,"Triunvirato Av. & Tronador","Av. Sarmiento 2601",1595,4190.52,"Viernes"
426508,"Av. Del Libertador, 3260","Av. Sarmiento 2601",337,856.89,"Lunes"
188139,"Lavalle & Acuña De Figueroa, Francisco","Av. Sarmiento 2601",1088,1958.05,"Miércoles"
23915,"Av. Pres. Figueroa Alcorta 2120","Av. Sarmiento 2601",7078,2804.63,"Sábado"
299996,"Delgado & Loreto, Virrey","Delgado & Loreto, Virrey",4119,0,"Sábado"
93576,"Triunvirato Av. & Tronador","Delgado & Loreto, Virrey",538,1081.44,"Lunes"
361092,"Triunvirato Av. & Tronador","Delgado & Loreto, Virrey",830,1081.44,"Sábado"
93576,"Virasoro, Valentin & Figueroa, D Apolinario, Coronel","Delgado & Loreto, Virrey",1119,3279.25,"Miércoles"
17562,"Olleros Av. & Del Libertador Av.","Olleros Av. & Del Libertador Av.",11457,0,"Lunes"
91633,"1413 Araoz & Gorriti CABA","Olleros Av. & Del Libertador Av.",1153,3373.08,"Martes"
26195,"Maure 1819","Olleros Av. & Del Libertador Av.",2428,459.48,"Domingo"
525425,"2700 Pedraza, Manuela","Olleros Av. & Del Libertador Av.",1434,3236.1,"Martes"
498500,"Figueroa Alcorta & Sarmiento","Olleros Av. & Del Libertador Av.",2651,2471.03,"Martes"
538693,"Mexico 1652","Ramos Mejia, Av Dr Jose Maria Vargas& Av. Del Libertador",3545,2982.92,"Miércoles"
93576,"1321 Villarroel & Humboldt CABA","1355 San Martin Av.",1404,1617.79,"Sábado"
93576,"Triunvirato Av. & Tronador","Arenales y Aguero",1878,5583.2,"Sábado"
43462,"Libertad & lavalle","Arenales y Aguero",1254,2468.99,"Viernes"
538693,"Mexico 1652","Mexico 1652",1684,0,"Miércoles"
538693,"Mexico 1652","Mexico 1652",1779,0,"Martes"
538693,"684 Boulogne Sur Mer & Tucuman","Mexico 1652",1009,2133.21,"Martes"
16756,"Cordoba Av. & Montevideo","1350 Posadas",719,1238.86,"Viernes"
